source_id,tier,title,publisher_or_owner,url,content_type,version,language,coverage,selection_reason,use_rule,verification_status,accessed_at,notes
OFF-08,A,磬弦奏华夜过场动画“虹歌灯宴”,原神官方账号,https://www.bilibili.com/video/BV1dM411t7Ls,官方活动过场,3.4,简体中文,"诗歌/说唱表演、社交组织与搭档互动","补充表演型语域和节奏","标记performance与limited_event；不长引歌词",官方第一方,2026-08-25,只作补充层
OFF-09,A,Cutscene Animation: Crimson Bouquet,Genshin Impact官方认证频道,https://www.youtube.com/watch?v=msDfHMytyWs,官方活动过场,5.3,多语言字幕,"正式仪式、家族责任与危机状态","修正只有搞怪的片面印象","核验画面/表演；中文文本仍以游戏简中为准",官方第一方,2026-08-25,标记limited_event
OFF-10,A,Cutscene Animation: Butterfly's Embrace,Genshin Impact官方认证频道,https://www.youtube.com/watch?v=dzsIw1intjo,官方活动过场,5.3,多语言字幕,"生死边界、危机与私人情感","补充严肃与脆弱语域","核验情境；中文文本仍以游戏简中为准",官方第一方,2026-08-25,标记limited_event
DATA-01,B,DimbreathBot/AnimeGameData,DimbreathBot community,https://github.com/DimbreathBot/AnimeGameData,游戏发布数据镜像,动态,多语言,"TextMap、任务、字幕、配置等结构化数据","可按角色ID、任务和文本哈希复现定位","记录commit SHA与游戏版本；抽样回查官方原文",社区数据镜像,2026-08-25,胡桃角色ID为10000046；非版权方官方发布
DATA-02,B,GenshinTexts,kqwyf community,https://github.com/kqwyf/GenshinTexts,文本提取工具,曾验证至4.4,多语言,"输出dialog、quest、avatar等结构并处理部分分支","降低人工复制错误并保留任务上下文","对最新版原始数据重跑；不可直接把旧产物视为完整",社区工具,2026-08-25,只作为可复现处理工具
MIR-01,C,BWIKI胡桃语音,原神WIKI_BWIKI社区,https://wiki.biligame.com/ys/%E8%83%A1%E6%A1%83%E8%AF%AD%E9%9F%B3,游戏文本转录,动态,中日英韩,"日常、探索、战斗、入队等至少10类语音","便于逐项阅读、音频定位和人工审校","简中条目与游戏/数据镜像抽查；低信息叫声降权",社区转录待核验,2026-08-25,不以页面文件数冒充有效语料数
MIR-02,C,BWIKI胡桃角色页,原神WIKI_BWIKI社区,https://wiki.biligame.com/ys/Hutao,游戏文本转录,动态,简体中文,"角色详细与8个背景模块","集中查看官方游戏内故事文本","作persona/lore；第三人称叙述不作response",社区转录待核验,2026-08-25,保留oldid或访问日期
MIR-03,C,BWIKI引蝶之章,原神WIKI_BWIKI社区,https://wiki.biligame.com/ys/%E5%BC%95%E8%9D%B6%E4%B9%8B%E7%AB%A0,任务索引/转录,1.3,简体中文,"4个传说任务子任务及逐句页入口","便于人工审阅完整多轮上下文","对照结构化数据和游戏实录；按场景去重",社区转录待核验,2026-08-25,首次登场说话人可能标作问号
MIR-04,C,BWIKI为了圆满的送别,原神WIKI_BWIKI社区,https://wiki.biligame.com/ys/%E4%B8%BA%E4%BA%86%E5%9C%86%E6%BB%A1%E7%9A%84%E9%80%81%E5%88%AB,任务逐句转录,1.3,简体中文,"边界、往生堂历史、送别狼哥、安慰老孟","严肃长答和语域切换最集中","保留前后文、旅行者分支和任务ID",社区转录待核验,2026-08-25,多分支合流须去重
MIR-05,C,Fandom中文胡桃故事,Genshin Impact Wiki community,https://genshin-impact.fandom.com/zh/wiki/%E8%83%A1%E6%A1%83/%E6%95%85%E4%BA%8B?variant=zh-sg,游戏文本转录,动态,中文,"故事1—5、帽子、神之眼","作为第二社区来源交叉核查情节结构","不作为唯一原文；注意繁简和编辑差异",社区转录待核验,2026-08-25,社区内容而非官方网页
MIR-06,C,BWIKI胡桃家园,原神WIKI_BWIKI社区,https://wiki.biligame.com/ys/%E8%83%A1%E6%A1%83/%E5%AE%B6%E5%9B%AD,家园对话转录,动态,简体中文,"2套偏好摆设对话，当前页面可见6句胡桃发言","补充亲近、陪伴和安抚的日常语域","少量补充；核对说话人与解锁条件",社区转录待核验,2026-08-25,不应过度代表总体语气
MIR-07,C,BWIKI 4.1诗歌活动“叶间泪”,原神WIKI_BWIKI社区,https://wiki.biligame.com/ys/%E5%8F%B6%E9%97%B4%E6%B3%AA,活动剧情转录,4.1,简体中文,"主持、作诗、对句和多人社交","补足诗人身份与主持型表达","按完整活动场景分组；标记limited_event",社区转录待核验,2026-08-25,不可让表演体压过日常口语
MIR-08,C,BWIKI 5.3海灯节起始,原神WIKI_BWIKI社区,https://wiki.biligame.com/ys/%E7%92%83%E6%9C%88%E6%B8%AF%E4%BD%B3%E8%8A%82%E5%85%B4%EF%BC%8C%E5%85%AB%E5%A5%87%E7%8E%B0%E7%98%B4%E7%96%A0%E9%9A%90,活动剧情转录,5.3,简体中文,"家族背景、朋友互动和边界危机开端","补足私人情感和后期角色信息","标记version=5.3与limited_event；回查官方过场",社区转录待核验,2026-08-25,作为稀有语域补充
